binomial,photo_url,flower_present,subjectivity,gpt_color
Penstemon utahensis,https://inaturalist-open-data.s3.amazonaws.com/photos/645417/medium.jpg,YES,LOW,PINK
Allium unifolium,https://inaturalist-open-data.s3.amazonaws.com/photos/15397/medium.jpg,YES,LOW,PINK
Lygodesmia juncea,https://inaturalist-open-data.s3.amazonaws.com/photos/4173621/medium.jpg,YES,LOW,PINK
Mazus miquelii,https://inaturalist-open-data.s3.amazonaws.com/photos/102168/medium.jpg,YES,LOW,PURPLE
Garberia heterophylla,https://static.inaturalist.org/photos/274497/medium.jpg,YES,LOW,PINK
Epilobium coloratum,https://inaturalist-open-data.s3.amazonaws.com/photos/28025143/medium.jpg,YES,LOW,PINK
Castilleja scorzonerifolia,https://static.inaturalist.org/photos/2586779/medium.JPG,YES,LOW,ORANGE
Euphorbia hyssopifolia,https://inaturalist-open-data.s3.amazonaws.com/photos/9100619/medium.jpg,YES,LOW,GREEN
Euphorbia setiloba,https://inaturalist-open-data.s3.amazonaws.com/photos/235415493/medium.jpg,YES,LOW,RED
Lessingia leptoclada,https://inaturalist-open-data.s3.amazonaws.com/photos/158338/medium.jpg,YES,LOW,PINK
Ericameria parishii,https://inaturalist-open-data.s3.amazonaws.com/photos/164416/medium.JPG,YES,LOW,YELLOW
Aphyllon californicum,https://inaturalist-open-data.s3.amazonaws.com/photos/17854/medium.jpg,YES,LOW,PINK
Avicennia germinans,https://static.inaturalist.org/photos/80626244/medium.jpg,YES,LOW,WHITE
Aureolaria flava,https://inaturalist-open-data.s3.amazonaws.com/photos/65698396/medium.jpg,YES,LOW,YELLOW
Scutellaria ovata,https://static.inaturalist.org/photos/138159799/medium.jpg,YES,LOW,BLUE
Leonotis nepetifolia,https://inaturalist-open-data.s3.amazonaws.com/photos/229821524/medium.jpg,YES,LOW,ORANGE
Cornus amomum,https://inaturalist-open-data.s3.amazonaws.com/photos/15046/medium.jpg,YES,LOW,WHITE
Petrorhagia dubia,https://static.inaturalist.org/photos/16765102/medium.jpg,YES,LOW,PINK
Brickellia grandiflora,https://inaturalist-open-data.s3.amazonaws.com/photos/22650062/medium.jpeg,YES,MEDIUM,GREEN
Thymophylla concinna,https://inaturalist-open-data.s3.amazonaws.com/photos/8509777/medium.jpg,YES,LOW,WHITE
Plantago aristata,https://inaturalist-open-data.s3.amazonaws.com/photos/94517261/medium.jpeg,YES,LOW,GREEN
Diphylleia cymosa,https://inaturalist-open-data.s3.amazonaws.com/photos/190997098/medium.jpg,NO,LOW,NAN
Aristolochia wrightii,https://inaturalist-open-data.s3.amazonaws.com/photos/5924420/medium.jpg,YES,LOW,MAROON
Callirhoe papaver,https://inaturalist-open-data.s3.amazonaws.com/photos/8440214/medium.jpeg,YES,LOW,PURPLE
Cyrilla racemiflora,https://inaturalist-open-data.s3.amazonaws.com/photos/18683713/medium.jpg,YES,LOW,WHITE
Bidens mitis,https://inaturalist-open-data.s3.amazonaws.com/photos/58091524/medium.jpeg,YES,LOW,YELLOW
Kummerowia striata,https://inaturalist-open-data.s3.amazonaws.com/photos/43898751/medium.jpeg,YES,LOW,PINK
Parentucellia latifolia,https://inaturalist-open-data.s3.amazonaws.com/photos/16530893/medium.jpg,YES,LOW,PINK
Euphorbia serpillifolia,https://static.inaturalist.org/photos/2401811/medium.jpg,YES,MEDIUM,GREEN
Utricularia radiata,https://static.inaturalist.org/photos/20786012/medium.jpg,YES,LOW,YELLOW
Malvastrum americanum,https://static.inaturalist.org/photos/2594085/medium.JPG,YES,LOW,YELLOW
Clethra acuminata,https://inaturalist-open-data.s3.amazonaws.com/photos/987304/medium.jpg,YES,LOW,WHITE
Bigelowia nudata,https://inaturalist-open-data.s3.amazonaws.com/photos/25002702/medium.jpeg,YES,LOW,YELLOW
Symphoricarpos mollis,https://static.inaturalist.org/photos/88670719/medium.jpg,NO,LOW,NAN
Teesdalia nudicaulis,https://static.inaturalist.org/photos/22207120/medium.jpeg,YES,MEDIUM,BROWN
Potentilla pulcherrima,https://static.inaturalist.org/photos/209494913/medium.jpeg,NO,LOW,NAN
Lamium hybridum,https://inaturalist-open-data.s3.amazonaws.com/photos/62096674/medium.jpeg,NO,LOW,NAN
Iris fernaldii,https://inaturalist-open-data.s3.amazonaws.com/photos/33014/medium.jpg,YES,LOW,WHITE
Senecio integerrimus,https://static.inaturalist.org/photos/348161/medium.jpg,YES,LOW,YELLOW
Montia parvifolia,https://inaturalist-open-data.s3.amazonaws.com/photos/3344998/medium.jpg,YES,LOW,PINK
Malacothamnus fremontii,https://inaturalist-open-data.s3.amazonaws.com/photos/3929334/medium.jpg,YES,LOW,PINK
Viola beckwithii,https://inaturalist-open-data.s3.amazonaws.com/photos/113788/medium.jpg,YES,LOW,PURPLE
Janusia gracilis,https://inaturalist-open-data.s3.amazonaws.com/photos/2776169/medium.jpg,YES,LOW,YELLOW
Daucus pusillus,https://inaturalist-open-data.s3.amazonaws.com/photos/7606922/medium.jpg,YES,LOW,WHITE
Nama jamaicensis,https://static.inaturalist.org/photos/2673854/medium.JPG,YES,LOW,WHITE
Chamaecrista greggii,https://inaturalist-open-data.s3.amazonaws.com/photos/661882/medium.JPG,YES,LOW,YELLOW
Oenothera pallida,https://inaturalist-open-data.s3.amazonaws.com/photos/12810930/medium.jpg,YES,LOW,WHITE
Leptosyne bigelovii,https://inaturalist-open-data.s3.amazonaws.com/photos/143277/medium.jpg,YES,LOW,YELLOW
Galium verum,https://inaturalist-open-data.s3.amazonaws.com/photos/67214650/medium.jpeg,YES,LOW,YELLOW
Nicotiana quadrivalvis,https://inaturalist-open-data.s3.amazonaws.com/photos/38111613/medium.jpg,YES,LOW,WHITE
Symphoricarpos rotundifolius,https://inaturalist-open-data.s3.amazonaws.com/photos/75934075/medium.jpeg,YES,LOW,PINK
Yucca filamentosa,https://inaturalist-open-data.s3.amazonaws.com/photos/108569664/medium.jpg,YES,LOW,WHITE
Calendula arvensis,https://inaturalist-open-data.s3.amazonaws.com/photos/12977/medium.jpg,YES,LOW,ORANGE
Leptosyne gigantea,https://inaturalist-open-data.s3.amazonaws.com/photos/34149/medium.jpg,YES,LOW,YELLOW
Eriogonum plumatella,https://inaturalist-open-data.s3.amazonaws.com/photos/5508543/medium.jpg,YES,LOW,WHITE
Trichostema arizonicum,https://inaturalist-open-data.s3.amazonaws.com/photos/153046276/medium.jpeg,YES,LOW,PURPLE
Blephilia ciliata,https://inaturalist-open-data.s3.amazonaws.com/photos/501669/medium.jpg,YES,LOW,PURPLE
Astragalus miser,https://static.inaturalist.org/photos/54204933/medium.jpg,YES,LOW,WHITE
Jasminum mesnyi,https://inaturalist-open-data.s3.amazonaws.com/photos/90954673/medium.jpg,YES,LOW,YELLOW
Rubus idaeus,https://static.inaturalist.org/photos/49121220/medium.jpeg,NO,LOW,NAN
Penstemon clevelandii,https://inaturalist-open-data.s3.amazonaws.com/photos/14569743/medium.jpg,YES,LOW,PINK
Tetrapteron graciliflorum,https://inaturalist-open-data.s3.amazonaws.com/photos/11561/medium.jpg,YES,LOW,YELLOW
Hulsea heterochroma,https://static.inaturalist.org/photos/18068732/medium.jpeg,YES,MEDIUM,BROWN
Gaillardia aestivalis,https://inaturalist-open-data.s3.amazonaws.com/photos/2022132/medium.jpg,YES,LOW,ORANGE
Ribes roezlii,https://inaturalist-open-data.s3.amazonaws.com/photos/9289/medium.jpg,YES,LOW,RED
Oxytropis lambertii,https://inaturalist-open-data.s3.amazonaws.com/photos/845895/medium.JPG,YES,LOW,PURPLE
Plantago patagonica,https://inaturalist-open-data.s3.amazonaws.com/photos/196527767/medium.jpg,YES,LOW,GREEN
Allium validum,https://inaturalist-open-data.s3.amazonaws.com/photos/1873718/medium.jpg,YES,LOW,PURPLE
Rhamphospermum nigrum,https://inaturalist-open-data.s3.amazonaws.com/photos/20673079/medium.jpeg,YES,LOW,YELLOW
Pluchea foetida,https://inaturalist-open-data.s3.amazonaws.com/photos/21076542/medium.jpeg,YES,LOW,WHITE
Evolvulus nuttallianus,https://static.inaturalist.org/photos/190526404/medium.jpeg,YES,LOW,PURPLE
Phyllodoce glanduliflora,https://inaturalist-open-data.s3.amazonaws.com/photos/94248/medium.jpg,YES,LOW,WHITE
Viola septemloba,https://static.inaturalist.org/photos/3853232/medium.JPG,YES,LOW,PURPLE
Fendlera rupicola,https://inaturalist-open-data.s3.amazonaws.com/photos/38336418/medium.jpg,YES,LOW,PINK
Chaenactis artemisiifolia,https://inaturalist-open-data.s3.amazonaws.com/photos/3744593/medium.JPG,YES,LOW,WHITE
Crotalaria rotundifolia,https://inaturalist-open-data.s3.amazonaws.com/photos/137797/medium.jpg,YES,LOW,YELLOW
Escobaria alversonii,https://static.inaturalist.org/photos/7040283/medium.jpg,YES,LOW,PINK
Erythranthe barbata,https://inaturalist-open-data.s3.amazonaws.com/photos/44567480/medium.jpg,YES,LOW,YELLOW
Proboscidea althaeifolia,https://inaturalist-open-data.s3.amazonaws.com/photos/149990796/medium.jpg,YES,LOW,YELLOW
Galium pilosum,https://inaturalist-open-data.s3.amazonaws.com/photos/21753652/medium.jpeg,NO,LOW,NAN
Hastingsia alba,https://inaturalist-open-data.s3.amazonaws.com/photos/14466/medium.jpg,YES,LOW,WHITE
Rosa setigera,https://inaturalist-open-data.s3.amazonaws.com/photos/137275/medium.jpg,YES,LOW,PINK
Canavalia rosea,https://inaturalist-open-data.s3.amazonaws.com/photos/175900496/medium.jpg,YES,LOW,PURPLE
Tillandsia bartramii,https://inaturalist-open-data.s3.amazonaws.com/photos/30083749/medium.jpeg,YES,LOW,PINK
Ligustrum japonicum,https://inaturalist-open-data.s3.amazonaws.com/photos/212659302/medium.jpg,YES,LOW,WHITE
Trichostema setaceum,https://inaturalist-open-data.s3.amazonaws.com/photos/32341102/medium.jpg,YES,LOW,BLUE
Lobelia brevifolia,https://inaturalist-open-data.s3.amazonaws.com/photos/25474671/medium.jpeg,YES,LOW,PURPLE
Spergularia macrotheca,https://inaturalist-open-data.s3.amazonaws.com/photos/24731290/medium.jpg,YES,LOW,PURPLE
Plantago maritima,https://static.inaturalist.org/photos/44671595/medium.jpg,YES,MEDIUM,BROWN
Malva assurgentiflora,https://inaturalist-open-data.s3.amazonaws.com/photos/265375/medium.jpg,YES,LOW,PINK
Tiquilia canescens,https://inaturalist-open-data.s3.amazonaws.com/photos/4269083/medium.jpg,YES,LOW,PINK
Solanum parishii,https://static.inaturalist.org/photos/61340142/medium.jpg,YES,LOW,PURPLE
Rhamnus alnifolia,https://static.inaturalist.org/photos/18203518/medium.jpg,YES,MEDIUM,GREEN
Tragia ramosa,https://inaturalist-open-data.s3.amazonaws.com/photos/104361562/medium.jpg,YES,LOW,GREEN
Nolina texana,https://inaturalist-open-data.s3.amazonaws.com/photos/6545131/medium.jpg,NO,LOW,NAN
Colubrina texensis,https://inaturalist-open-data.s3.amazonaws.com/photos/1806365/medium.JPG,YES,LOW,GREEN
Asclepias ovalifolia,https://inaturalist-open-data.s3.amazonaws.com/photos/6080131/medium.jpg,YES,LOW,WHITE
Ebenopsis ebano,https://inaturalist-open-data.s3.amazonaws.com/photos/57175721/medium.jpeg,NO,LOW,NAN
Kopsiopsis strobilacea,https://inaturalist-open-data.s3.amazonaws.com/photos/45153/medium.jpg,YES,LOW,MAROON
Collomia linearis,https://inaturalist-open-data.s3.amazonaws.com/photos/127543/medium.jpg,YES,LOW,PINK
Brickellia eupatorioides,https://inaturalist-open-data.s3.amazonaws.com/photos/133690/medium.jpg,YES,LOW,WHITE
Malus angustifolia,https://inaturalist-open-data.s3.amazonaws.com/photos/3343473/medium.jpg,YES,LOW,PINK
Pectiantia pentandra,https://inaturalist-open-data.s3.amazonaws.com/photos/12661948/medium.jpg,YES,MEDIUM,GREEN
Stachytarpheta jamaicensis,https://inaturalist-open-data.s3.amazonaws.com/photos/61532448/medium.jpeg,YES,LOW,PURPLE
Thalictrum dasycarpum,https://inaturalist-open-data.s3.amazonaws.com/photos/771710/medium.jpg,YES,LOW,WHITE
Hypochaeris glabra,https://inaturalist-open-data.s3.amazonaws.com/photos/1003756/medium.jpg,YES,LOW,YELLOW
Croton cortesianus,https://static.inaturalist.org/photos/33542731/medium.jpeg,YES,LOW,GREEN
Lomatium martindalei,https://inaturalist-open-data.s3.amazonaws.com/photos/211365699/medium.jpg,YES,LOW,YELLOW
Phacelia divaricata,https://inaturalist-open-data.s3.amazonaws.com/photos/34683567/medium.jpeg,YES,LOW,BLUE
Acer pseudoplatanus,https://inaturalist-open-data.s3.amazonaws.com/photos/270771593/medium.jpg,NO,LOW,NAN
Scrophularia marilandica,https://inaturalist-open-data.s3.amazonaws.com/photos/89064687/medium.jpg,YES,LOW,RED
Oenanthe sarmentosa,https://inaturalist-open-data.s3.amazonaws.com/photos/138170784/medium.jpg,YES,LOW,WHITE
Androsace septentrionalis,https://inaturalist-open-data.s3.amazonaws.com/photos/118770555/medium.jpg,YES,LOW,WHITE
Castilleja sessiliflora,https://inaturalist-open-data.s3.amazonaws.com/photos/33238982/medium.jpeg,YES,LOW,PINK
Claytonia megarhiza,https://inaturalist-open-data.s3.amazonaws.com/photos/11822660/medium.jpeg,YES,LOW,PINK
Cylindropuntia thurberi,https://inaturalist-open-data.s3.amazonaws.com/photos/19203933/medium.jpg,YES,LOW,YELLOW
Eriogonum microtheca,https://inaturalist-open-data.s3.amazonaws.com/photos/430119/medium.jpg,YES,LOW,PINK
Clarkia gracilis,https://inaturalist-open-data.s3.amazonaws.com/photos/16393/medium.jpg,YES,LOW,PURPLE
Lythrum californicum,https://inaturalist-open-data.s3.amazonaws.com/photos/171732/medium.jpg,YES,LOW,PURPLE
Euonymus obovatus,https://static.inaturalist.org/photos/1540361/medium.jpg,YES,MEDIUM,GREEN
Euphorbia melanadenia,https://static.inaturalist.org/photos/3300062/medium.jpg,YES,LOW,WHITE
Malaxis unifolia,https://inaturalist-open-data.s3.amazonaws.com/photos/207733/medium.jpg,YES,MEDIUM,GREEN
Delphinium glaucum,https://inaturalist-open-data.s3.amazonaws.com/photos/37397608/medium.jpg,YES,LOW,PURPLE
Nemacladus rubescens,https://inaturalist-open-data.s3.amazonaws.com/photos/19733251/medium.jpeg,YES,HIGH,UNKNOWN
Physalis philadelphica,https://inaturalist-open-data.s3.amazonaws.com/photos/27784851/medium.jpeg,YES,LOW,YELLOW
Vaccinium myrtilloides,https://static.inaturalist.org/photos/5192241/medium.jpg,YES,LOW,PINK
Pityopsis aspera,https://static.inaturalist.org/photos/5301102/medium.jpeg,YES,LOW,YELLOW
Hypericum canadense,https://inaturalist-open-data.s3.amazonaws.com/photos/294323007/medium.jpg,YES,LOW,YELLOW
Magnolia macrophylla,https://inaturalist-open-data.s3.amazonaws.com/photos/53670533/medium.jpeg,YES,LOW,WHITE
Piriqueta cistoides,https://static.inaturalist.org/photos/3865823/medium.jpg,YES,LOW,YELLOW
Atocion armeria,https://inaturalist-open-data.s3.amazonaws.com/photos/43993/medium.jpg,YES,LOW,PINK
Solanum lycopersicum,https://inaturalist-open-data.s3.amazonaws.com/photos/115407615/medium.jpg,YES,LOW,YELLOW
Gordonia lasianthus,https://inaturalist-open-data.s3.amazonaws.com/photos/111523/medium.jpg,YES,LOW,WHITE
Angelica lucida,https://inaturalist-open-data.s3.amazonaws.com/photos/21932469/medium.jpg,YES,LOW,GREEN
Helenium bigelovii,https://inaturalist-open-data.s3.amazonaws.com/photos/47216819/medium.jpg,YES,LOW,YELLOW
Castilleja rhexiifolia,https://inaturalist-open-data.s3.amazonaws.com/photos/82943185/medium.jpg,YES,LOW,RED
Ceanothus jepsonii,https://inaturalist-open-data.s3.amazonaws.com/photos/18298/medium.jpg,YES,LOW,PURPLE
Boykinia occidentalis,https://inaturalist-open-data.s3.amazonaws.com/photos/82810621/medium.jpg,YES,LOW,WHITE
Aquilegia eximia,https://inaturalist-open-data.s3.amazonaws.com/photos/44404538/medium.jpeg,YES,LOW,ORANGE
Rhamnus ilicifolia,https://inaturalist-open-data.s3.amazonaws.com/photos/735023/medium.jpg,NO,LOW,NAN
Ipomoea pedicellaris,https://static.inaturalist.org/photos/52978534/medium.jpeg,YES,LOW,PURPLE
Hoffmannseggia glauca,https://inaturalist-open-data.s3.amazonaws.com/photos/813427/medium.jpg,YES,LOW,YELLOW
Ceanothus megacarpus,https://inaturalist-open-data.s3.amazonaws.com/photos/114241140/medium.jpg,YES,LOW,WHITE
Solanum houstonii,https://inaturalist-open-data.s3.amazonaws.com/photos/229004639/medium.jpg,YES,LOW,PURPLE
Persicaria filiformis,https://inaturalist-open-data.s3.amazonaws.com/photos/50650631/medium.jpg,YES,LOW,PINK
Euphorbia longicruris,https://inaturalist-open-data.s3.amazonaws.com/photos/118763946/medium.jpeg,YES,LOW,GREEN
Aphyllon fasciculatum,https://inaturalist-open-data.s3.amazonaws.com/photos/39474790/medium.jpg,YES,LOW,PURPLE
Iris brevicaulis,https://inaturalist-open-data.s3.amazonaws.com/photos/3304117/medium.JPG,YES,LOW,PURPLE
Senecio viscosus,https://inaturalist-open-data.s3.amazonaws.com/photos/53180602/medium.jpeg,YES,LOW,YELLOW
Penstemon serrulatus,https://inaturalist-open-data.s3.amazonaws.com/photos/3604210/medium.jpg,YES,LOW,PURPLE
Cuscuta californica,https://inaturalist-open-data.s3.amazonaws.com/photos/6916348/medium.jpg,YES,LOW,YELLOW
Justicia ovata,https://static.inaturalist.org/photos/174669/medium.jpg,YES,LOW,WHITE
Pedicularis lanceolata,https://inaturalist-open-data.s3.amazonaws.com/photos/155237051/medium.jpg,YES,MEDIUM,GREEN
Euphorbia serpens,https://inaturalist-open-data.s3.amazonaws.com/photos/1810552/medium.JPG,YES,MEDIUM,GREEN
Thymus pulegioides,https://static.inaturalist.org/photos/120022219/medium.jpeg,YES,LOW,PINK
Packera cana,https://inaturalist-open-data.s3.amazonaws.com/photos/717743/medium.jpg,YES,LOW,YELLOW
Cordylanthus nevinii,https://inaturalist-open-data.s3.amazonaws.com/photos/44514/medium.jpg,YES,LOW,WHITE
Liquidambar styraciflua,https://inaturalist-open-data.s3.amazonaws.com/photos/151075271/medium.jpg,NO,LOW,NAN
Pinguicula pumila,https://inaturalist-open-data.s3.amazonaws.com/photos/251258134/medium.jpg,YES,LOW,PINK
Oenothera simulans,https://inaturalist-open-data.s3.amazonaws.com/photos/76417222/medium.jpg,YES,LOW,WHITE
Alcea rosea,https://inaturalist-open-data.s3.amazonaws.com/photos/4025459/medium.jpg,YES,LOW,PINK
Hypericum anagalloides,https://inaturalist-open-data.s3.amazonaws.com/photos/140562958/medium.jpg,YES,LOW,YELLOW
Polypogon monspeliensis,https://inaturalist-open-data.s3.amazonaws.com/photos/115909148/medium.jpeg,YES,LOW,GREEN
Vigethia mexicana,https://inaturalist-open-data.s3.amazonaws.com/photos/442432/medium.JPG,YES,LOW,YELLOW
Xyris difformis,https://inaturalist-open-data.s3.amazonaws.com/photos/161827850/medium.jpeg,YES,LOW,YELLOW
Diplacus nanus,https://inaturalist-open-data.s3.amazonaws.com/photos/17949/medium.jpg,YES,LOW,PURPLE
Galium concinnum,https://inaturalist-open-data.s3.amazonaws.com/photos/1340033/medium.JPG,YES,LOW,WHITE
Galium palustre,https://static.inaturalist.org/photos/2143712/medium.jpg,YES,LOW,WHITE
Barbarea orthoceras,https://static.inaturalist.org/photos/8500245/medium.jpg,YES,LOW,YELLOW
Verbena simplex,https://static.inaturalist.org/photos/337652/medium.jpg,YES,LOW,WHITE
Spiranthes magnicamporum,https://inaturalist-open-data.s3.amazonaws.com/photos/56031055/medium.jpeg,YES,LOW,WHITE
Viola macloskeyi,https://inaturalist-open-data.s3.amazonaws.com/photos/91378341/medium.jpeg,YES,LOW,WHITE
Strophostyles leiosperma,https://inaturalist-open-data.s3.amazonaws.com/photos/2298261/medium.JPG,YES,LOW,PINK
Cuphea carthagenensis,https://inaturalist-open-data.s3.amazonaws.com/photos/62774115/medium.jpeg,YES,LOW,PINK
Asclepias hirtella,https://inaturalist-open-data.s3.amazonaws.com/photos/587197/medium.jpg,YES,LOW,GREEN
Erucastrum gallicum,https://inaturalist-open-data.s3.amazonaws.com/photos/1661592/medium.jpg,YES,LOW,YELLOW
Oenothera suffulta,https://inaturalist-open-data.s3.amazonaws.com/photos/6976355/medium.jpeg,YES,LOW,WHITE
Allium amplectens,https://inaturalist-open-data.s3.amazonaws.com/photos/13632/medium.jpg,YES,LOW,PINK
Trichostema nesophilum,https://inaturalist-open-data.s3.amazonaws.com/photos/239440363/medium.jpeg,YES,LOW,PINK
Hesperomecon linearis,https://inaturalist-open-data.s3.amazonaws.com/photos/183206595/medium.jpg,YES,LOW,YELLOW
Eriogonum racemosum,https://inaturalist-open-data.s3.amazonaws.com/photos/23409262/medium.jpg,YES,LOW,PINK
Acmispon maritimus,https://static.inaturalist.org/photos/211878/medium.jpg,YES,LOW,YELLOW
Erigeron aureus,https://static.inaturalist.org/photos/4358323/medium.jpg,YES,LOW,YELLOW
Aralia californica,https://inaturalist-open-data.s3.amazonaws.com/photos/4908/medium.jpg,YES,LOW,WHITE
Coreopsis palmata,https://inaturalist-open-data.s3.amazonaws.com/photos/133694/medium.jpg,YES,LOW,YELLOW
Astragalus crotalariae,https://inaturalist-open-data.s3.amazonaws.com/photos/80535/medium.JPG,YES,LOW,PURPLE
Nandina domestica,https://inaturalist-open-data.s3.amazonaws.com/photos/108644058/medium.jpg,YES,LOW,RED
Collinsia sparsiflora,https://inaturalist-open-data.s3.amazonaws.com/photos/179893908/medium.jpeg,YES,LOW,PURPLE
Paeonia brownii,https://inaturalist-open-data.s3.amazonaws.com/photos/13668562/medium.jpg,YES,LOW,YELLOW
Zeltnera calycosa,https://static.inaturalist.org/photos/3676312/medium.jpg,YES,LOW,PINK
Phacelia tanacetifolia,https://inaturalist-open-data.s3.amazonaws.com/photos/13147/medium.jpg,YES,LOW,PURPLE
Penstemon laevigatus,https://inaturalist-open-data.s3.amazonaws.com/photos/127121/medium.jpg,YES,LOW,PINK
Synandra hispidula,https://inaturalist-open-data.s3.amazonaws.com/photos/38527374/medium.jpg,YES,LOW,WHITE
Matelea carolinensis,https://inaturalist-open-data.s3.amazonaws.com/photos/7657658/medium.jpg,YES,LOW,PURPLE
Vachellia vernicosa,https://inaturalist-open-data.s3.amazonaws.com/photos/106364963/medium.jpg,YES,LOW,YELLOW
Conicosia pugioniformis,https://inaturalist-open-data.s3.amazonaws.com/photos/111152832/medium.jpeg,YES,LOW,YELLOW
Campanula glomerata,https://inaturalist-open-data.s3.amazonaws.com/photos/46171593/medium.jpeg,YES,LOW,PURPLE
Prosartes trachycarpa,https://inaturalist-open-data.s3.amazonaws.com/photos/291460013/medium.jpeg,YES,LOW,WHITE
Hesperidanthus linearifolius,https://static.inaturalist.org/photos/10178138/medium.jpg,YES,LOW,PURPLE
Xyris laxifolia,https://static.inaturalist.org/photos/47878249/medium.jpg,YES,LOW,YELLOW
Ptilimnium capillaceum,https://inaturalist-open-data.s3.amazonaws.com/photos/19413485/medium.jpeg,YES,LOW,WHITE
Eriogonum heracleoides,https://inaturalist-open-data.s3.amazonaws.com/photos/2111886/medium.jpg,YES,LOW,WHITE
Drosera intermedia,https://inaturalist-open-data.s3.amazonaws.com/photos/65107842/medium.jpeg,YES,LOW,RED
Castela erecta,https://inaturalist-open-data.s3.amazonaws.com/photos/13121922/medium.jpg,YES,LOW,PINK
Eucnide urens,https://inaturalist-open-data.s3.amazonaws.com/photos/63783/medium.jpg,YES,LOW,WHITE
Barkleyanthus salicifolius,https://inaturalist-open-data.s3.amazonaws.com/photos/31239684/medium.jpg,YES,LOW,YELLOW
Allium bisceptrum,https://inaturalist-open-data.s3.amazonaws.com/photos/389246/medium.jpg,YES,LOW,PINK
Viola nuttallii,https://inaturalist-open-data.s3.amazonaws.com/photos/112090/medium.jpg,YES,LOW,YELLOW
Oenothera rosea,https://inaturalist-open-data.s3.amazonaws.com/photos/18705281/medium.jpeg,YES,LOW,PINK
Aquilegia chrysantha,https://inaturalist-open-data.s3.amazonaws.com/photos/93748/medium.jpg,YES,LOW,YELLOW
Dioscorea villosa,https://inaturalist-open-data.s3.amazonaws.com/photos/77915101/medium.jpeg,NO,LOW,NAN
Limonium sinuatum,https://static.inaturalist.org/photos/22811199/medium.jpeg,YES,LOW,PURPLE
Viola lobata,https://inaturalist-open-data.s3.amazonaws.com/photos/18440935/medium.jpeg,YES,LOW,YELLOW
Galearis rotundifolia,https://inaturalist-open-data.s3.amazonaws.com/photos/639977/medium.jpg,YES,LOW,PINK
Calycoseris parryi,https://inaturalist-open-data.s3.amazonaws.com/photos/3229199/medium.jpeg,YES,LOW,YELLOW
Smilax lasioneura,https://inaturalist-open-data.s3.amazonaws.com/photos/520882/medium.jpg,YES,LOW,GREEN
Toxicoscordion nuttallii,https://inaturalist-open-data.s3.amazonaws.com/photos/2564111/medium.JPG,YES,LOW,WHITE
Dyssodia pinnata,https://inaturalist-open-data.s3.amazonaws.com/photos/1162979/medium.JPG,YES,LOW,YELLOW
Penstemon angustifolius,https://inaturalist-open-data.s3.amazonaws.com/photos/72038692/medium.jpg,YES,LOW,PURPLE
Tragia urticifolia,https://inaturalist-open-data.s3.amazonaws.com/photos/5328452/medium.jpeg,YES,MEDIUM,GREEN
Frasera parryi,https://static.inaturalist.org/photos/878793/medium.jpg,YES,LOW,WHITE
Linanthus bellus,https://inaturalist-open-data.s3.amazonaws.com/photos/71516415/medium.jpeg,YES,LOW,PINK
Eryngium prostratum,https://static.inaturalist.org/photos/519501/medium.jpg,YES,LOW,BLUE
Ceanothus tomentosus,https://inaturalist-open-data.s3.amazonaws.com/photos/112660470/medium.jpeg,YES,LOW,BLUE
Pogogyne serpylloides,https://inaturalist-open-data.s3.amazonaws.com/photos/97857/medium.jpg,YES,LOW,PURPLE
Holocarpha heermannii,https://inaturalist-open-data.s3.amazonaws.com/photos/17598/medium.jpg,YES,LOW,YELLOW
Platycodon grandiflorus,https://inaturalist-open-data.s3.amazonaws.com/photos/4227766/medium.jpg,YES,LOW,BLUE
Salix exigua,https://inaturalist-open-data.s3.amazonaws.com/photos/440710/medium.jpg,YES,LOW,YELLOW
Hedysarum alpinum,https://inaturalist-open-data.s3.amazonaws.com/photos/139450479/medium.jpg,YES,LOW,PURPLE
Sanicula marilandica,https://inaturalist-open-data.s3.amazonaws.com/photos/133671/medium.jpg,YES,LOW,GREEN
Aquilegia pubescens,https://inaturalist-open-data.s3.amazonaws.com/photos/162455/medium.jpg,YES,LOW,YELLOW
Elaeagnus commutata,https://inaturalist-open-data.s3.amazonaws.com/photos/24328977/medium.jpeg,NO,LOW,NAN
Platanthera stricta,https://inaturalist-open-data.s3.amazonaws.com/photos/25692746/medium.jpg,YES,LOW,GREEN
Plantago virginica,https://inaturalist-open-data.s3.amazonaws.com/photos/294656268/medium.jpg,YES,MEDIUM,BROWN
Ribes rubrum,https://inaturalist-open-data.s3.amazonaws.com/photos/57647168/medium.jpeg,NO,LOW,NAN
Trifolium angustifolium,https://inaturalist-open-data.s3.amazonaws.com/photos/240476219/medium.jpeg,YES,LOW,PINK
Erythrostemon gilliesii,https://inaturalist-open-data.s3.amazonaws.com/photos/94499891/medium.jpg,YES,LOW,PINK
Aphyllon tuberosum,https://static.inaturalist.org/photos/287150410/medium.jpg,YES,LOW,PURPLE
Euphorbia myrsinites,https://inaturalist-open-data.s3.amazonaws.com/photos/583744/medium.jpg,YES,LOW,GREEN
Geranium californicum,https://static.inaturalist.org/photos/92193568/medium.jpg,YES,LOW,PINK
Dicentra pauciflora,https://inaturalist-open-data.s3.amazonaws.com/photos/304779/medium.jpg,YES,MEDIUM,PINK
Liatris elegans,https://inaturalist-open-data.s3.amazonaws.com/photos/10699454/medium.jpeg,YES,LOW,WHITE
