binomial,photo_url,flower_present,subjectivity,gpt_color,validated,comments
Indigofera fruticosa,https://inaturalist-open-data.s3.amazonaws.com/photos/25670232/medium.jpg,YES,LOW,RED,yes,
Harfordia macroptera,https://inaturalist-open-data.s3.amazonaws.com/photos/4354908/medium.jpeg,YES,LOW,RED,no,confusing... big red bracts
Guapira discolor,https://inaturalist-open-data.s3.amazonaws.com/photos/2088990/medium.jpg,YES,LOW,RED,no,
Eriogonum hemipterum,https://inaturalist-open-data.s3.amazonaws.com/photos/651537/medium.jpg,YES,LOW,RED,yes,
Cotoneaster integrifolius,https://inaturalist-open-data.s3.amazonaws.com/photos/222204/medium.jpg,YES,LOW,RED,no,
Cestrum elegans,https://inaturalist-open-data.s3.amazonaws.com/photos/30119299/medium.jpg,YES,LOW,RED,yes,borderline purple
Diplacus rutilus,https://inaturalist-open-data.s3.amazonaws.com/photos/334672499/medium.jpeg,YES,LOW,RED,yes,
Euphorbia colorata,https://inaturalist-open-data.s3.amazonaws.com/photos/12498482/medium.jpg,YES,LOW,RED,yes,
Salvia tubifera,https://inaturalist-open-data.s3.amazonaws.com/photos/147688823/medium.jpeg,YES,LOW,RED,yes,
Anisacanthus andersonii,https://static.inaturalist.org/photos/14530969/medium.jpg,YES,LOW,RED,yes,can also be orange
Sedum diffusum,https://inaturalist-open-data.s3.amazonaws.com/photos/13132615/medium.jpg,YES,LOW,RED,no,
Euphorbia exserta,https://static.inaturalist.org/photos/36199534/medium.jpeg,YES,LOW,RED,yes,
Scrophularia laevis,https://inaturalist-open-data.s3.amazonaws.com/photos/42757618/medium.jpg,YES,LOW,RED,yes,
Scrophularia macrantha,https://inaturalist-open-data.s3.amazonaws.com/photos/224580348/medium.jpeg,YES,LOW,RED,yes,
Scrophularia nodosa,https://inaturalist-open-data.s3.amazonaws.com/photos/43575323/medium.jpeg,YES,LOW,RED,yes,
Ruellia elegans,https://inaturalist-open-data.s3.amazonaws.com/photos/1542569/medium.jpg,YES,LOW,RED,yes,
Crassula longipes,https://inaturalist-open-data.s3.amazonaws.com/photos/273082071/medium.jpeg,YES,LOW,RED,no,unclear
Erythrina sierra,https://static.inaturalist.org/photos/41356980/medium.jpeg,YES,LOW,RED,yes,
Erythrina lanata,https://static.inaturalist.org/photos/127289024/medium.jpeg,YES,LOW,RED,yes,
Salvia gesneriiflora,https://inaturalist-open-data.s3.amazonaws.com/photos/30297/medium.JPG,YES,LOW,RED,yes,
Salvia carranzae,https://static.inaturalist.org/photos/5349985/medium.jpeg,YES,LOW,RED,yes,
Salvia longistyla,https://inaturalist-open-data.s3.amazonaws.com/photos/5659207/medium.jpeg,YES,LOW,RED,yes,
Eriogonum nutans,https://inaturalist-open-data.s3.amazonaws.com/photos/39349175/medium.jpg,YES,LOW,RED,no,variable and can be more red
Costus woodsonii,https://static.inaturalist.org/photos/30514713/medium.jpg,YES,LOW,RED,no,yellow/orange but red bracts
Dahlia pinnata,https://inaturalist-open-data.s3.amazonaws.com/photos/92314247/medium.jpeg,YES,LOW,RED,yes,also lots of white
Acalypha herzogiana,https://static.inaturalist.org/photos/40953809/medium.jpg,YES,LOW,RED,yes,
Xylonagra arborea,https://inaturalist-open-data.s3.amazonaws.com/photos/252169160/medium.jpg,YES,LOW,RED,yes,
Echinocereus canyonensis,https://inaturalist-open-data.s3.amazonaws.com/photos/4347431/medium.jpg,YES,LOW,RED,yes,
Tetramerium abditum,https://inaturalist-open-data.s3.amazonaws.com/photos/12621120/medium.jpg,YES,LOW,RED,yes,
Stachytarpheta microphylla,https://static.inaturalist.org/photos/116509918/medium.jpeg,YES,LOW,RED,yes,
Echinocereus scheeri,https://static.inaturalist.org/photos/4304050/medium.jpeg,YES,LOW,RED,yes,
Stenocereus standleyi,https://inaturalist-open-data.s3.amazonaws.com/photos/20387731/medium.jpeg,YES,LOW,RED,no,
Allocasuarina verticillata,https://inaturalist-open-data.s3.amazonaws.com/photos/3561168/medium.jpg,YES,LOW,RED,yes,
Odontonema cuspidatum,https://inaturalist-open-data.s3.amazonaws.com/photos/179372503/medium.jpg,YES,LOW,RED,yes,
Cirsium ehrenbergii,https://inaturalist-open-data.s3.amazonaws.com/photos/3179135/medium.JPG,YES,LOW,RED,yes,
Calliandra houstoniana,https://inaturalist-open-data.s3.amazonaws.com/photos/170948/medium.JPG,YES,LOW,RED,yes,
Callianthe megapotamica,https://inaturalist-open-data.s3.amazonaws.com/photos/58055483/medium.jpg,YES,LOW,RED,yes,
Hibiscus poeppigii,https://inaturalist-open-data.s3.amazonaws.com/photos/13632038/medium.jpg,YES,LOW,RED,yes,
Castilleja kerryana,https://static.inaturalist.org/photos/188036504/medium.jpg,YES,LOW,RED,yes,
Castilleja ortegae,https://inaturalist-open-data.s3.amazonaws.com/photos/12924200/medium.jpg,YES,LOW,RED,yes,
Lechea deckertii,https://inaturalist-open-data.s3.amazonaws.com/photos/48823369/medium.jpeg,YES,LOW,RED,yes,rare and small flowers - said to be red to maroon
Castilleja purpurascens,https://inaturalist-open-data.s3.amazonaws.com/photos/13693625/medium.jpeg,YES,LOW,RED,yes,
Castilleja tomentosa,https://static.inaturalist.org/photos/187451335/medium.jpg,YES,LOW,RED,yes,
Castilleja wootonii,https://static.inaturalist.org/photos/10377151/medium.jpg,YES,LOW,RED,yes,
Cestrum fasciculatum,https://inaturalist-open-data.s3.amazonaws.com/photos/718853/medium.jpg,YES,LOW,RED,yes,
Gaillardia comosa,https://inaturalist-open-data.s3.amazonaws.com/photos/3937965/medium.JPG,YES,LOW,RED,yes,
Pitcairnia monticola,https://inaturalist-open-data.s3.amazonaws.com/photos/99661413/medium.jpeg,YES,LOW,RED,no,red bracts though
Pitcairnia palmeri,https://static.inaturalist.org/photos/9098932/medium.jpeg,YES,LOW,RED,yes,
Barringtonia acutangula,https://inaturalist-open-data.s3.amazonaws.com/photos/221489243/medium.jpeg,YES,LOW,RED,yes,stamens!
Philodendron erubescens,https://inaturalist-open-data.s3.amazonaws.com/photos/60368103/medium.jpeg,YES,LOW,RED,yes,
Papaver nudicaule,https://inaturalist-open-data.s3.amazonaws.com/photos/1823248/medium.JPG,YES,LOW,RED,yes,
Paxistima canbyi,https://inaturalist-open-data.s3.amazonaws.com/photos/48990/medium.jpg,YES,LOW,RED,yes,
Passiflora vitifolia,https://inaturalist-open-data.s3.amazonaws.com/photos/238098263/medium.jpg,YES,LOW,RED,yes,
Passiflora miniata,https://inaturalist-open-data.s3.amazonaws.com/photos/175200288/medium.jpg,YES,LOW,RED,yes,
Hesperantha coccinea,https://inaturalist-open-data.s3.amazonaws.com/photos/14336403/medium.jpg,YES,LOW,RED,yes,
Brongniartia alamosana,https://inaturalist-open-data.s3.amazonaws.com/photos/11901155/medium.jpeg,YES,LOW,RED,yes,
Graptopetalum sinaloensis,https://inaturalist-open-data.s3.amazonaws.com/photos/115439829/medium.jpeg,YES,LOW,RED,yes,"dark red petal tips, white inner"
Penstemon pinifolius,https://inaturalist-open-data.s3.amazonaws.com/photos/5637679/medium.jpg,YES,LOW,RED,yes,
Penstemon roseus,https://inaturalist-open-data.s3.amazonaws.com/photos/314517/medium.jpg,YES,LOW,RED,yes,
Penstemon alamosensis,https://inaturalist-open-data.s3.amazonaws.com/photos/5931988/medium.jpg,YES,LOW,RED,yes,
Penstemon angelicus,https://inaturalist-open-data.s3.amazonaws.com/photos/7155185/medium.jpg,YES,LOW,RED,yes,
Blitum virgatum,https://inaturalist-open-data.s3.amazonaws.com/photos/2982152/medium.jpg,YES,LOW,RED,no,tiny and green
Penstemon fasciculatus,https://inaturalist-open-data.s3.amazonaws.com/photos/12499552/medium.jpg,YES,LOW,RED,yes,
